,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err
168,58903823,129434,-14.4,349.76,0.382,57870.31372715437,GFU,BRONZE,3.3099999999999996,3.39
169,21161807,129506,18.6,311.97,0.338,57887.17462612477,GFU,BRONZE,3.2,3.43
170,49650572,129506,30.65,227.37,0.553,57887.3001509515,GFU,GOLD,2.3899999999999997,2.33
171,51402681,129550,26.49,178.59,0.422,57900.06963858731,GFU,BRONZE,7.27,6.24
172,8332254,129654,25.08,74.97,0.367,57925.19120971263,GFU,BRONZE,11.77,15.030000000000001
173,55886338,129677,8.8,280.99,0.547,57930.51931610766,GFU,GOLD,2.03,4.66
174,49353375,129701,23.36,230.45,0.602,57938.29260240479,GFU,GOLD,1.9900000000000002,3.38
175,67372962,129777,25.16,208.39,0.866,57951.81765905026,GFU,GOLD,2.76,2.86
176,33565191,129855,4.63,1.1,0.561,57968.08384779975,GFU,GOLD,0.82,6.24
177,40814378,129878,-2.28,21.27,0.598,57974.59705961282,GFU,GOLD,1.27,1.8
178,72252401,129915,18.88,26.98,0.509,57984.2758042185,GFU,BRONZE,2.21,4.88
179,32926212,129933,12.37,41.92,0.489,57989.5537508031,GFU,GOLD,2.76,6.59
180,50579430,130033,5.79,77.43,0.631,58018.87118560489,GFU,GOLD,1.05,1.89
181,7858514,130034,-2.54,173.45,0.563,58019.0213003793,GFU,GOLD,2.21,4.92
182,30964247,130092,17.23,132.63,0.37,58032.3078085121,GFU,BRONZE,1.7200000000000002,3.6500000000000004
183,56068624,130126,-15.48,162.91,0.554,58041.06562575943,HESE,GOLD,3.6,4.7
184,52824390,130172,2.05,294.52,0.337,58054.76477464011,GFU,BRONZE,5.41,6.9399999999999995
185,17569642,130214,7.44,340.14,0.975,58063.7775372039,GFU,GOLD,0.56,1.24
186,11599241,130220,-20.7,269.65,0.179,58065.75475047243,GFU,BRONZE,0.32,0.4
187,84363835,130561,3.92,206.1,0.424,58135.75220559863,HESE,BRONZE,1.49,2.33
188,44934051,130588,8.01,77.12,0.788,58141.6770674525,GFU,GOLD,0.8999999999999999,5.4
189,55489144,130597,23.77,207.51,0.362,58143.97573521594,GFU,BRONZE,1.14,1.58
190,37366501,130639,-10.54,17.4,0.229,58154.00422026594,GFU,BRONZE,1.48,2.2800000000000002
191,80612787,130684,6.09,66.97,0.273,58162.37782304162,GFU,BRONZE,3.67,5.05
192,25740057,130743,26.4,294.79,0.424,58177.57240411086,GFU,BRONZE,1.9100000000000001,3.56
193,67186364,130797,5.53,287.18,0.388,58190.67858044863,GFU,BRONZE,0.6000000000000001,3.21
194,16289732,130801,0.78,58.71,0.36,58191.80396382706,GFU,BRONZE,2.02,3.5599999999999996
195,3160265,130807,-1.42,271.71,0.391,58193.24266207089,GFU,BRONZE,2.5,4.62
196,76035104,130912,0.56,218.5,0.6,58218.77679461517,GFU,GOLD,1.46,2.06
197,35022693,130932,-4.41,305.73,0.577,58225.2785126638,GFU,GOLD,1.42,5.18
198,32665194,131096,0.3,312.19,0.278,58266.50625455115,GFU,BRONZE,1.79,2.81
199,60192271,131134,-1.08,69.08,0.396,58277.59689648438,GFU,BRONZE,1.56,3.04
200,43542963,131145,3.73,338.69,0.25,58281.19039700799,GFU,BRONZE,6.51,10.809999999999999
201,9342044,131165,11.53,38.06,0.415,58282.98236039212,GFU,BRONZE,9.06,10.1
202,73241305,131321,-17.74,74.14,0.178,58327.84471313767,GFU,BRONZE,1.1,0.79
203,57649537,131360,11.15,100.37,0.276,58337.20231338376,GFU,BRONZE,5.1,9.05
